,Año,Trim,Prov,Accesx100hog,BandaAncha,BandaAngos,Total,ADSL,Cablemodem,FibraOpt,Wireless,Otros_Tec,MediaMbps,AR1_0.51Mbs,AR2_0.75Mbs,AR3_3.5Mbs,AR4_8Mbs,AR5_15Mbs,AR6_25Mbs,AR7_+30Mbs,Otros_Mbs
74,2021,4,Catamarca,55.25,59089,1,59090,16385.0,13858.0,25100.0,1512.0,2235.0,46,71,0,6038,7855,9804,3262,29827,2233
75,2021,4,Chaco,44.05,143740,5,143745,35548.0,63145.0,34688.0,8005.0,2359.0,42,461,112,18845,22678,21937,13692,58435,7585
76,2021,4,Chubut,82.57,159364,944,160308,46361.0,57412.0,9655.0,28041.0,18839.0,9,126,1294,63698,39568,31175,5780,2904,15763
77,2021,4,Córdoba,84.51,986693,77,986770,212011.0,487489.0,217214.0,61277.0,8779.0,46,100,2479,184548,130892,76246,41198,538700,12607
78,2021,4,Corrientes,45.51,135908,4,135912,42523.0,71183.0,10138.0,6778.0,5290.0,36,67,645,28830,26368,22922,10087,39911,7082
79,2021,4,Entre Ríos,63.16,265024,22,265046,70459.0,133387.0,23452.0,25022.0,12726.0,33,107,3024,56043,49636,38295,24068,77290,16583
80,2021,4,Formosa,34.45,53663,0,53663,17211.0,15111.0,5151.0,16018.0,172.0,29,84,0,22908,6983,6811,1135,13775,1967
81,2021,4,Jujuy,56.92,113915,0,113915,22330.0,60511.0,24156.0,2927.0,3991.0,27,58,175,22446,16793,38134,564,33421,2324
82,2021,4,La Pampa,89.57,106834,173,107007,8175.0,58000.0,20192.0,19286.0,1354.0,14,301,493,64840,9082,12259,4821,12184,3027
83,2021,4,La Rioja,77.92,83124,4,83128,10387.0,56651.0,9446.0,6613.0,31.0,40,18,1,5018,5437,23559,5671,43424,0
84,2021,4,Mendoza,47.51,266783,804,267587,59842.0,71553.0,109667.0,24666.0,1859.0,22,156,1463,66428,30308,75214,18621,75031,366
85,2021,4,Misiones,49.06,171132,0,171132,41778.0,92068.0,22035.0,7649.0,7602.0,39,51,5,41916,23554,26721,15954,54596,8335
86,2021,4,Neuquén,73.3,146989,477,147466,29175.0,72761.0,23253.0,21531.0,746.0,40,140,940,42313,13264,10515,3310,69217,7767
87,2021,4,Río Negro,65.69,153189,564,153753,42037.0,44495.0,32212.0,16558.0,18451.0,27,156,1174,38373,19878,31255,4130,36142,22645
88,2021,4,Salta,56.81,199399,6,199405,46972.0,99808.0,39555.0,5882.0,7188.0,34,114,20,40673,69324,6642,3535,72622,6475
89,2021,4,San Juan,39.59,79667,291,79958,35868.0,13102.0,11072.0,11423.0,8493.0,11,44,1442,28906,10955,23978,398,9800,4435
90,2021,4,San Luis,80.3,118662,187,118849,8472.0,11064.0,30.0,70560.0,28723.0,21,62,264,8550,4276,9107,67363,9,29218
91,2021,4,Santa Cruz,43.05,48276,210,48486,10790.0,22902.0,10031.0,4346.0,417.0,9,52,297,20305,11641,13054,1770,876,491
92,2021,4,Santa Fe,77.09,866265,176,866441,233427.0,444373.0,128856.0,43556.0,16229.0,36,467,581,169706,206856,85690,62349,322015,18777
93,2021,4,Santiago Del Estero,47.05,115859,2,115861,19032.0,86563.0,1088.0,6256.0,2922.0,14,178,909,31915,61524,12205,800,7537,793
94,2021,4,Tierra Del Fuego,98.4,52042,315,52357,13317.0,38148.0,426.0,124.0,342.0,11,26,385,13505,16534,16562,1748,1017,2580
95,2021,4,Tucumán,55.93,238609,30,238639,97830.0,59022.0,78790.0,2511.0,486.0,45,39,97,37321,48736,21023,5326,125857,240
96,2021,3,Buenos Aires,71.68,4246425,5184,4251609,585729.0,2595485.0,885613.0,120228.0,64554.0,56,37193,31149,1108940,248153,141383,192797,2482266,9728
97,2021,3,Capital Federal,111.27,1411797,1608,1413405,142902.0,1192107.0,42966.0,6059.0,29371.0,78,295,603,156978,67013,39785,73502,1075229,0
98,2021,3,Catamarca,52.71,56253,1,56254,18413.0,11709.0,22331.0,1568.0,2233.0,43,71,0,6755,8428,10517,1659,26618,2206
99,2021,3,Chaco,42.96,139868,3,139871,38258.0,63659.0,27583.0,8018.0,2353.0,39,301,112,22545,20986,23852,14412,49705,7958
100,2021,3,Chubut,80.71,155266,800,156066,49269.0,55794.0,8946.0,23376.0,18681.0,8,104,105,89168,26281,18538,5320,1643,14907
101,2021,3,Córdoba,81.28,946726,62,946788,229275.0,477223.0,167495.0,57617.0,15178.0,42,99,2452,204989,141285,65050,47198,476459,9256
102,2021,3,Corrientes,44.9,133816,3,133819,44805.0,69403.0,7542.0,6766.0,5303.0,32,67,645,29629,28478,24792,9687,35468,5053
103,2021,3,Entre Ríos,62.18,260360,15,260375,74443.0,128752.0,20485.0,23500.0,13195.0,30,107,3024,61354,59776,39114,16284,67961,12755
104,2021,3,Formosa,33.96,52795,0,52795,18093.0,14111.0,4730.0,15690.0,171.0,27,381,0,22778,7142,6978,1192,12707,1617
105,2021,3,Jujuy,55.69,111158,0,111158,23554.0,60758.0,19926.0,2952.0,3968.0,26,48,175,23884,16417,37755,561,29917,2401
106,2021,3,La Pampa,84.28,100371,116,100487,9015.0,57881.0,17817.0,14479.0,1295.0,13,298,313,65063,7395,8737,4023,10506,4152
107,2021,3,La Rioja,77.26,82157,3,82160,11329.0,54744.0,9444.0,6613.0,30.0,39,18,1,5366,5979,23315,4868,42613,0
108,2021,3,Mendoza,45.55,255320,619,255939,91474.0,71247.0,70579.0,21811.0,828.0,13,36,31,151871,12640,62628,7596,21087,50
109,2021,3,Misiones,45.57,158528,0,158528,43230.0,89469.0,10969.0,7198.0,7662.0,31,51,5,41932,25099,26079,14792,42291,8279
110,2021,3,Neuquén,69.71,139436,373,139809,29650.0,73794.0,16455.0,19270.0,640.0,38,112,327,57441,8566,6234,3631,57919,5579
111,2021,3,Río Negro,61.97,144084,501,144585,47934.0,44519.0,18725.0,15031.0,18376.0,25,125,557,68991,3730,14880,2282,34011,20009
112,2021,3,Salta,55.96,195831,2,195833,49212.0,98318.0,36126.0,5724.0,6453.0,31,101,20,41431,70104,6962,3878,67010,6327
113,2021,3,San Juan,39.46,79227,256,79483,40072.0,12922.0,6670.0,11372.0,8447.0,7,18,333,59873,752,13250,338,278,4641
114,2021,3,San Luis,79.87,117716,148,117864,8417.0,11884.0,27.0,68856.0,28680.0,22,60,0,11552,2405,6491,67942,22,29392
115,2021,3,Santa Cruz,43.75,48779,197,48976,12347.0,22961.0,6328.0,4269.0,3071.0,8,50,0,30561,8365,6799,1788,678,735
116,2021,3,Santa Fe,75.02,841433,151,841584,245929.0,443156.0,93412.0,43447.0,15640.0,33,467,579,193207,201250,83941,55080,290793,16267
117,2021,3,Santiago Del Estero,47.0,115457,1,115458,19939.0,85535.0,909.0,6147.0,2928.0,13,123,909,32752,61838,11274,801,6863,898
118,2021,3,Tierra Del Fuego,94.95,49934,289,50223,12853.0,36958.0,6.0,16.0,390.0,10,17,0,23723,13397,9782,1433,976,895
